Include On Export,Export Containing Keywords,Export Synonyms,Person Type Keyword,
N,N,N,N,[ByRoute]
N,N,N,N,	[AEL_Shuttle]
Y,Y,Y,N,		H1
Y,Y,Y,N,		H2
Y,Y,Y,N,		H3
Y,Y,Y,N,		H4
Y,Y,Y,N,		K1
Y,Y,Y,N,		K2
Y,Y,Y,N,		K3
Y,Y,Y,N,		K4
Y,Y,Y,N,		K5
N,N,N,N,	[CUHK]
Y,Y,Y,N,		CU_1A
Y,Y,Y,N,		CU_1B
Y,Y,Y,N,		CU_2
Y,Y,Y,N,		CU_3
Y,Y,Y,N,		CU_4
Y,Y,Y,N,		CU_5
Y,Y,Y,N,		CU_6A
Y,Y,Y,N,		CU_6B
Y,Y,Y,N,		CU_7
Y,Y,Y,N,		CU_8
Y,Y,Y,N,		CU_A
Y,Y,Y,N,		CU_B
Y,Y,Y,N,		CU_C
Y,Y,Y,N,		CU_D
Y,Y,Y,N,		CU_E
Y,Y,Y,N,		CU_M1
Y,Y,Y,N,		CU_M2
Y,Y,Y,N,		CU_M3
N,N,N,N,	[DB]
Y,Y,Y,N,		DB00R
Y,Y,Y,N,			DB_1
Y,Y,Y,N,			DB_2
Y,Y,Y,N,			DB_3
Y,Y,Y,N,			DB_4
Y,Y,Y,N,			DB_5
Y,Y,Y,N,			DB_6
Y,Y,Y,N,			DB_7
Y,Y,Y,N,			DB_8
Y,Y,Y,N,			DB_9
Y,Y,Y,N,			DB_9A
Y,Y,Y,N,			DB_9S
Y,Y,Y,N,			DB_16
Y,Y,Y,N,			DB_23
Y,Y,Y,N,			DB_78
Y,Y,Y,N,			DB_516
Y,Y,Y,N,			DB_3278
Y,Y,Y,N,			DB_C4
Y,Y,Y,N,			DB_C9
Y,Y,Y,N,			DB_S1
Y,Y,Y,N,			DB_S2
Y,Y,Y,N,			DB_S3
Y,Y,Y,N,			DB_S4
Y,Y,Y,N,			DB_S5
Y,Y,Y,N,			DB_S6
Y,Y,Y,N,			DB_S7
Y,Y,Y,N,			DB_S8
Y,Y,Y,N,			DB_T1
Y,Y,Y,N,			DB_T2
